State,Number_of_Hospitals,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue($),"Death Rates, 2015-2019 Averaged.Deaths","Death Rates, 2015-2019 Averaged.Population","Death Rates, 2015-2019 Averaged.Crude Rate"
Alaska,10,1274,45131,243451,5881291,22287,3689104,604.1
Alabama,90,15127,577473,2768330,63612420,266073,24388082,1091
Arkansas,51,8011,316530,1388729,28471124,161185,15002360,1074.4
Arizona,78,13774,609674,2727388,86444904,288220,35225769,818.2
California,339,73849,3045511,14096066,457437847,1328284,197000756,674.3
Colorado,58,8314,387278,1744764,70978615,189858,28058573,676.6
Connecticut,35,8860,361415,1745221,39911961,155365,17893474,868.3
District of Columbia,7,2179,89404,584481,12958215,24808,3455574,717.9
Delaware,8,2036,89159,464794,7923100,45369,4800873,945
Florida,218,56410,2479767,11761680,352526170,1005114,104645173,960.5
Georgia,110,22417,909063,4702114,114460459,415484,52091508,797.6
Hawaii,14,2523,88340,510364,8225506,56330,7124061,790.7
Iowa,41,6421,258607,1187356,26044388,150902,15715518,960.2
Idaho,18,2529,112746,447177,13532179,69094,8596286,803.8
Illinois,142,28773,1332308,5538199,146978960,542731,63876458,849.7
Indiana,103,15700,667719,3102922,85463122,323477,33343648,970.1
Kansas,55,6409,269277,1185551,35419764,135191,14556872,928.7
Kentucky,74,13455,530366,2452724,59500313,240300,22252330,1079.9
Louisiana,110,15118,505577,2441485,60177458,225812,23345495,967.3
Massachusetts,72,14849,721856,3525656,70098009,291352,34260672,850.4
Maine,19,2896,110420,539393,11500040,73117,6679330,1094.7
Maryland,53,10580,505006,2695070,19379804,247365,30163423,820.1
Michigan,106,23312,1061859,4736863,97091309,486960,49795959,977.9
Minnesota,55,10584,497714,2254754,47817952,220508,27836963,792.1
Missouri,83,16804,678473,3196879,77582618,307138,30554084,1005.2
Mississippi,69,10059,307165,1466484,35991598,161069,14927838,1079
Montana,18,2245,83275,345588,7817729,50441,5257045,959.5
North Carolina,108,22476,976584,4836537,107527572,462521,51334713,901
Nebraska,27,4232,173118,813507,16191126,83709,9587058,873.1
North Dakota,10,2011,75325,359828,8905482,32027,3792411,844.5
Nevada,31,5752,288923,1427651,48706377,121739,14943490,814.7
New Hampshire,14,2296,103505,503186,13908647,62209,6724367,925.1
New Jersey,78,20148,851888,4299768,130611597,371047,44698836,830.1
New Mexico,37,3852,165700,770464,19354532,93242,10446451,892.6
New York,186,57384,2164933,11700708,269401406,776902,98386249,789.6
Ohio,149,27970,1240953,5534957,155521675,609389,58264947,1045.9
Oklahoma,91,38521,402418,1877127,50197617,201013,19665813,1022.1
Oregon,37,6273,304261,1364890,29713254,181664,20673668,878.7
Pennsylvania,177,35006,1368802,6504340,208768131,669979,64001316,1046.8
Rhode Island,11,2456,108844,507396,10518456,50394,5289039,952.8
South Carolina,67,11671,476832,2359946,62955091,246371,25114475,981
South Dakota,25,2777,94506,393132,12351569,39813,4360483,913
Tennessee,98,18707,765510,3654804,91168184,347536,33566661,1035.4
Texas,364,58568,2573027,12206145,356985281,985299,141334032,697.1
Utah,36,4822,207260,814990,21178969,90372,15516032,582.4
Virginia,91,17808,733086,3498604,88482677,340313,42318025,804.2
Vermont,7,835,38460,198356,4599417,29818,3124581,954.3
Washington,61,10216,496590,2435486,65965346,281499,37014578,760.5
Wisconsin,78,11053,471332,2193372,59775413,263633,28981530,909.7
West Virginia,34,5463,203900,1047450,19993032,115642,9089066,1272.3
Wyoming,14,1280,31125,110659,3130140,24459,2907419,841.3
